accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives,threshold
0.912032598274209,0.7374872318692544,0.8677884615384616,0.7973495306460519,0.9570848687240903,0.8846209402258454,257,110,722,3083,0.05
0.9137104506232023,0.7448132780082988,0.8629807692307693,0.799554565701559,0.9570848687240903,0.8846209402258454,246,114,718,3094,0.055
0.9156279961649089,0.7515723270440252,0.8617788461538461,0.8029115341545353,0.9570848687240903,0.8846209402258454,237,115,717,3103,0.06
0.9173058485139022,0.7582184517497349,0.859375,0.8056338028169014,0.9570848687240903,0.8846209402258454,228,117,715,3112,0.065
0.9177852348993288,0.7620578778135049,0.8545673076923077,0.8056657223796034,0.9570848687240903,0.8846209402258454,222,121,711,3118,0.07
0.9187440076701822,0.7670639219934995,0.8509615384615384,0.8068376068376069,0.9570848687240903,0.8846209402258454,215,124,708,3125,0.075
0.9187440076701822,0.7682263329706203,0.8485576923076923,0.8063963449457453,0.9570848687240903,0.8846209402258454,213,126,706,3127,0.08
0.9187440076701822,0.7688113413304253,0.8473557692307693,0.8061749571183533,0.9570848687240903,0.8846209402258454,212,127,705,3128,0.085
0.9189837008628955,0.7702407002188184,0.8461538461538461,0.8064146620847652,0.9570848687240903,0.8846209402258454,210,128,704,3130,0.09
0.9192233940556088,0.7722772277227723,0.84375,0.8064330844342332,0.9570848687240903,0.8846209402258454,207,130,702,3133,0.095
0.9204218600191755,0.7771618625277162,0.8425480769230769,0.8085351787773933,0.9570848687240903,0.8846209402258454,201,131,701,3139,0.1
0.9197027804410355,0.7764182424916574,0.8389423076923077,0.806470248411323,0.9570848687240903,0.8846209402258454,201,134,698,3139,0.105
0.9204218600191755,0.7808988764044944,0.8353365384615384,0.8072009291521487,0.9570848687240903,0.8846209402258454,195,137,695,3145,0.11
0.9199424736337488,0.7829545454545455,0.828125,0.8049065420560748,0.9570848687240903,0.8846209402258454,191,143,689,3149,0.115
0.9204218600191755,0.7853881278538812,0.8269230769230769,0.8056206088992974,0.9570848687240903,0.8846209402258454,188,144,688,3152,0.12
0.9211409395973155,0.7894131185270425,0.8245192307692307,0.8065843621399177,0.9570848687240903,0.8846209402258454,183,146,686,3157,0.125
0.9206615532118888,0.7895953757225433,0.8209134615384616,0.8049499116087213,0.9570848687240903,0.8846209402258454,182,149,683,3158,0.13
0.9206615532118888,0.7902665121668598,0.8197115384615384,0.8047197640117995,0.9570848687240903,0.8846209402258454,181,150,682,3159,0.135
0.9211409395973155,0.793465577596266,0.8173076923076923,0.8052101835405565,0.9570848687240903,0.8846209402258454,177,152,680,3163,0.14
0.9213806327900288,0.794392523364486,0.8173076923076923,0.8056872037914692,0.9570848687240903,0.8846209402258454,176,152,680,3164,0.145
0.9211409395973155,0.794841735052755,0.8149038461538461,0.8047477744807122,0.9570848687240903,0.8846209402258454,175,154,678,3165,0.15
0.9213806327900288,0.795774647887324,0.8149038461538461,0.8052256532066508,0.9570848687240903,0.8846209402258454,174,154,678,3166,0.155
0.9216203259827421,0.7981109799291618,0.8125,0.8052412150089339,0.9570848687240903,0.8846209402258454,171,156,676,3169,0.16
0.9218600191754555,0.801909307875895,0.8076923076923077,0.8047904191616766,0.9570848687240903,0.8846209402258454,166,160,672,3174,0.165
0.9201821668264621,0.8002406738868832,0.7992788461538461,0.7997594708358389,0.9570848687240903,0.8846209402258454,166,167,665,3174,0.17
0.9201821668264621,0.8009650180940893,0.7980769230769231,0.7995183624322697,0.9570848687240903,0.8846209402258454,165,168,664,3175,0.175
0.9204218600191755,0.8026634382566586,0.796875,0.7997587454764777,0.9570848687240903,0.8846209402258454,163,169,663,3177,0.18
