model,split,threshold,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives
baseline_gradient_boosting,train,0.5,0.9274,0.8784,0.738,0.8021,0.9633,0.9031,85,218,614,3255
baseline_gradient_boosting,test,0.5,0.8965,0.7867,0.6611,0.7184,0.9327,0.8326,64,121,236,1367
tuned_gb_default_threshold,train,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,0,832,3340
tuned_gb_default_threshold,test,0.5,0.9161,0.8485,0.7059,0.7706,0.9633,0.8975,45,105,252,1386
tuned_gb_selected_threshold,train,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0,0,832,3340
tuned_gb_selected_threshold,test,0.1,0.9178,0.772,0.8347,0.8022,0.9633,0.8975,88,59,298,1343
