mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gb__subsample,param_gb__n_estimators,param_gb__min_samples_split,param_gb__min_samples_leaf,param_gb__max_features,param_gb__max_depth,param_gb__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5928285121917725,0.019308420982582744,0.009971857070922852,0.0002489111432534675,0.9,250,25,1,log2,3,0.1,"{'gb__subsample': 0.9, 'gb__n_estimators': 250, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 1, 'gb__max_features': 'log2', 'gb__max_depth': 3, 'gb__learning_rate': 0.1}",0.9294704005163326,0.9455609738606618,0.9382530120481929,0.9557210879445928,0.9382710482649159,0.9414553045269392,0.008768137617560467,12
0.5828306198120117,0.009824278932204455,0.010605955123901367,0.0013245604999343914,0.8,200,10,1,log2,4,0.04,"{'gb__subsample': 0.8, 'gb__n_estimators': 200, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 1, 'gb__max_features': 'log2', 'gb__max_depth': 4, 'gb__learning_rate': 0.04}",0.9240740076732761,0.9456595790455018,0.9341227184185845,0.9530517278695622,0.9324453502633288,0.9378706766540507,0.01024656770647875,13
1.3509179592132567,0.018496094175866173,0.009170198440551757,0.0002866396070579377,0.9,200,10,1,,3,0.06,"{'gb__subsample': 0.9, 'gb__n_estimators': 200, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 1, 'gb__max_features': None, 'gb__max_depth': 3, 'gb__learning_rate': 0.06}",0.925732367600129,0.9451306966904515,0.9302359137147391,0.9501749513022149,0.9378922877137292,0.9378332434042527,0.009052344206572648,14
0.4499386787414551,0.006360799259491297,0.009559297561645507,0.0002040850559089519,0.8,250,10,3,log2,2,0.15,"{'gb__subsample': 0.8, 'gb__n_estimators': 250, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 3, 'gb__max_features': 'log2', 'gb__max_depth': 2, 'gb__learning_rate': 0.15}",0.9237154433647674,0.9439205421492345,0.9280445133828727,0.9528262751605223,0.9283781833922516,0.9353769914899297,0.01110144146621498,15
0.8727005958557129,0.033561857897166696,0.011448001861572266,0.00017083183495774298,0.8,300,10,1,log2,4,0.02,"{'gb__subsample': 0.8, 'gb__n_estimators': 300, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 1, 'gb__max_features': 'log2', 'gb__max_depth': 4, 'gb__learning_rate': 0.02}",0.9200939438488293,0.9433647674710459,0.9297128634297669,0.9489124161315923,0.9270885938965442,0.9338345169555555,0.01067209045554591,16
0.5242450714111329,0.009632159951055246,0.010709810256958007,0.0005873974888560615,1.0,300,2,10,sqrt,2,0.1,"{'gb__subsample': 1.0, 'gb__n_estimators': 300, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 10, 'gb__max_features': 'sqrt', 'gb__max_depth': 2, 'gb__learning_rate': 0.1}",0.9221377604073291,0.9403528272795725,0.9243651251713441,0.9515998124233461,0.9246446865305533,0.9326200423624289,0.011503528394392776,17
0.5942030906677246,0.013503836687157461,0.010378789901733399,0.00022796828024623095,1.0,250,10,1,log2,3,0.04,"{'gb__subsample': 1.0, 'gb__n_estimators': 250, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 1, 'gb__max_features': 'log2', 'gb__max_depth': 3, 'gb__learning_rate': 0.04}",0.9203718311879235,0.9408503352576284,0.9258711492677296,0.9470005771589352,0.9201717047832048,0.9308531195310843,0.011040423580460543,18
0.6417906761169434,0.013040765532117844,0.010648202896118165,0.00026980849580491526,0.9,250,25,3,log2,3,0.04,"{'gb__subsample': 0.9, 'gb__n_estimators': 250, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 3, 'gb__max_features': 'log2', 'gb__max_depth': 3, 'gb__learning_rate': 0.04}",0.9206317903115924,0.9415360894976514,0.92661063415338,0.9476408628526081,0.916997330639925,0.9306833414910314,0.011918617278956229,19
0.42731428146362305,0.01729509505552194,0.010649681091308594,0.0018543889753581256,0.7,150,2,10,log2,4,0.04,"{'gb__subsample': 0.7, 'gb__n_estimators': 150, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 10, 'gb__max_features': 'log2', 'gb__max_depth': 4, 'gb__learning_rate': 0.04}",0.9142045250815735,0.9435350855175877,0.9275665536397087,0.9474695187937378,0.9202438496500974,0.9306039065365409,0.01293955385680468,20
0.5978121757507324,0.025569415255188216,0.010178613662719726,0.0006473971122480808,1.0,250,2,1,sqrt,3,0.04,"{'gb__subsample': 1.0, 'gb__n_estimators': 250, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_features': 'sqrt', 'gb__max_depth': 3, 'gb__learning_rate': 0.04}",0.9197802000788842,0.9410430635734519,0.9249963927566554,0.9465316355241324,0.9200003607243346,0.9304703305314916,0.011167912550360638,21
0.3496051788330078,0.002309164692279521,0.009450244903564452,0.00025854071142545585,0.7,200,10,10,sqrt,2,0.08,"{'gb__subsample': 0.7, 'gb__n_estimators': 200, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 10, 'gb__max_features': 'sqrt', 'gb__max_depth': 2, 'gb__learning_rate': 0.08}",0.9144196636666786,0.9382731542902218,0.9199462520741649,0.9453051727869561,0.9144812784070413,0.9264851042450125,0.012849718927678272,22
0.26470241546630857,0.0055722892571267064,0.009122467041015625,0.0006593668050393659,1.0,150,2,10,log2,2,0.1,"{'gb__subsample': 1.0, 'gb__n_estimators': 150, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 10, 'gb__max_features': 'log2', 'gb__max_depth': 2, 'gb__learning_rate': 0.1}",0.9146079099286457,0.9366506507942199,0.9184267008152369,0.9428522473126039,0.916424680758964,0.925792437921934,0.011627901848982587,23
1.057068157196045,0.015567597861463722,0.009820032119750976,0.00026417365566851675,1.0,200,25,3,0.5,4,0.02,"{'gb__subsample': 1.0, 'gb__n_estimators': 200, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 3, 'gb__max_features': 0.5, 'gb__max_depth': 4, 'gb__learning_rate': 0.02}",0.9113449747212162,0.9354942808992792,0.9217228194213981,0.939677873169324,0.9071270110381647,0.9230733918498766,0.012834750951117064,24
0.2829861640930176,0.012484638650205578,0.00886378288269043,0.0004271974120760193,0.9,150,25,5,log2,2,0.06,"{'gb__subsample': 0.9, 'gb__n_estimators': 150, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 5, 'gb__max_features': 'log2', 'gb__max_depth': 2, 'gb__learning_rate': 0.06}",0.906374376994514,0.9329170999318728,0.9163480268378905,0.9399078349325446,0.9058374215424573,0.9202769520478558,0.013873449383609142,25
0.3758370399475098,0.008977121105104168,0.008946895599365234,0.00020443032806113795,0.9,200,25,3,log2,2,0.04,"{'gb__subsample': 0.9, 'gb__n_estimators': 200, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 3, 'gb__max_features': 'log2', 'gb__max_depth': 2, 'gb__learning_rate': 0.04}",0.9073021621427804,0.9307567499731076,0.915193708967607,0.9386137363826563,0.8986003895822812,0.9180933494096865,0.014739614075719236,26
0.7334827423095703,0.007521737902191357,0.009652280807495117,0.00037502809304987023,0.8,200,2,1,0.5,3,0.02,"{'gb__subsample': 0.8, 'gb__n_estimators': 200, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 1, 'gb__max_features': 0.5, 'gb__max_depth': 3, 'gb__learning_rate': 0.02}",0.9067374233568791,0.9305505754957151,0.9136606305461367,0.9341632999062117,0.9028749729456749,0.9175973804501236,0.0125888911339755,27
0.7060612678527832,0.01980652766019445,0.01083669662475586,0.0007720003546271878,0.8,250,25,1,0.5,2,0.02,"{'gb__subsample': 0.8, 'gb__n_estimators': 250, 'gb__min_samples_split': 25, 'gb__min_samples_leaf': 1, 'gb__max_features': 0.5, 'gb__max_depth': 2, 'gb__learning_rate': 0.02}",0.9030711033023773,0.9242084692889669,0.9083219103960753,0.9302945314190896,0.8916068465478681,0.9115005721908755,0.014082781746761424,28
1.0785439968109132,0.015940163757782705,0.00729975700378418,0.0008072661647115211,0.8,250,2,10,,2,0.02,"{'gb__subsample': 0.8, 'gb__n_estimators': 250, 'gb__min_samples_split': 2, 'gb__min_samples_leaf': 10, 'gb__max_features': None, 'gb__max_depth': 2, 'gb__learning_rate': 0.02}",0.902918713471261,0.9244818745742048,0.9094176105620086,0.9285405093427603,0.8901594401558329,0.9111036296212136,0.014082022563946158,29
0.3902445793151855,0.004953349381504099,0.01001739501953125,0.0006511719902768298,0.7,150,10,5,0.5,2,0.02,"{'gb__subsample': 0.7, 'gb__n_estimators': 150, 'gb__min_samples_split': 10, 'gb__min_samples_leaf': 5, 'gb__max_features': 0.5, 'gb__max_depth': 2, 'gb__learning_rate': 0.02}",0.8925696511169277,0.917108895980494,0.901689091696126,0.9251947911406103,0.8839775268739629,0.9041079913616242,0.015217730563465263,30
