accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives,threshold
0.6442953020134228,0.3582608695652174,0.9903846153846154,0.5261813537675607,0.9495320057001382,0.8271846891883843,1476,8,824,1864,0.05
0.6622722914669223,0.37010355695632596,0.9879807692307693,0.5384867343596462,0.9495320057001382,0.8271846891883843,1399,10,822,1941,0.055
0.6828859060402684,0.38490389123300517,0.9867788461538461,0.5537942664418213,0.9495320057001382,0.8271846891883843,1312,11,821,2028,0.06
0.7046979865771812,0.4019607843137255,0.9855769230769231,0.5710306406685237,0.9495320057001382,0.8271846891883843,1220,12,820,2120,0.065
0.7205177372962608,0.4152284263959391,0.9831730769230769,0.583868665239115,0.9495320057001382,0.8271846891883843,1152,14,818,2188,0.07
0.7325023969319271,0.4258098223615465,0.9795673076923077,0.593590677348871,0.9495320057001382,0.8271846891883843,1099,17,815,2241,0.075
0.7406519654841802,0.43322649572649574,0.9747596153846154,0.5998520710059172,0.9495320057001382,0.8271846891883843,1061,21,811,2279,0.08
0.7538350910834132,0.44622173193601766,0.9723557692307693,0.6117202268431002,0.9495320057001382,0.8271846891883843,1004,23,809,2336,0.085
0.7658197507190796,0.4587364826408651,0.96875,0.6226342217072228,0.9495320057001382,0.8271846891883843,951,26,806,2389,0.09
0.7763662511984659,0.47045055588063195,0.9663461538461539,0.6328217237308147,0.9495320057001382,0.8271846891883843,905,28,804,2435,0.095
0.7861936720997124,0.48197115384615385,0.9639423076923077,0.6426282051282052,0.9495320057001382,0.8271846891883843,862,30,802,2478,0.1
0.7960210930009588,0.49413218035824585,0.9615384615384616,0.6527947776417788,0.9495320057001382,0.8271846891883843,819,32,800,2521,0.105
0.8022531160115053,0.5021998742928976,0.9603365384615384,0.6595130004127115,0.9495320057001382,0.8271846891883843,792,33,799,2548,0.11
0.8084851390220518,0.5106109324758843,0.9543269230769231,0.6652702136573104,0.9495320057001382,0.8271846891883843,761,38,794,2579,0.115
0.8123202301054651,0.5159401431359791,0.953125,0.6694807935837906,0.9495320057001382,0.8271846891883843,744,39,793,2596,0.12
