model,split,threshold,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives
baseline_random_forest,train,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0,0,832,3340
baseline_random_forest,test,0.5,0.8965,0.8028,0.6387,0.7114,0.9592,0.8442,56,129,228,1375
tuned_rf_default_threshold,train,0.5,0.9954,0.9777,1.0,0.9887,1.0,0.9999,19,0,832,3321
tuned_rf_default_threshold,test,0.5,0.8993,0.7827,0.6863,0.7313,0.9554,0.8348,68,112,245,1363
tuned_rf_selected_threshold,train,0.365,0.9801,0.9093,1.0,0.9525,1.0,0.9999,83,0,832,3257
tuned_rf_selected_threshold,test,0.365,0.9049,0.7416,0.8039,0.7715,0.9554,0.8348,100,70,287,1331
