,precision,recall,f1-score,support
0,1.0,0.9751497005988023,0.9874185235713203,3340.0
1,0.9092896174863389,1.0,0.9524899828277046,832.0
accuracy,0.9801054650047939,0.9801054650047939,0.9801054650047939,0.9801054650047939
macro avg,0.9546448087431694,0.9875748502994012,0.9699542531995125,4172.0
weighted avg,0.9819101058841405,0.9801054650047939,0.9804529085428716,4172.0
