model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value,relative_to_best
XGBoost,loss_minimising_threshold,0.06,0.4,0.04,0.8221476510067114,0.5298621745788668,0.969187675070028,0.6851485148514852,0.9641237347489661,1124,307,11,346,113220.0,210832.0,324052.0,181.2371364653244,0.6,188700.0,5270800.0,1.0
Random Forest,loss_minimising_threshold,0.08,0.4,0.04,0.7639821029082774,0.4578469520103761,0.988795518207283,0.625886524822695,0.9554247974521745,1013,418,4,353,54000.0,292560.0,346560.0,193.8255033557047,0.6,90000.0,7314000.0,1.0694579882241122
Gradient Boosting,loss_minimising_threshold,0.01,0.4,0.04,0.8702460850111857,0.6142595978062158,0.9411764705882353,0.7433628318584071,0.9632800709382285,1220,211,21,336,255300.0,144604.0,399904.0,223.6599552572707,0.6,425500.0,3615100.0,1.2340735437522372
AdaBoost,loss_minimising_threshold,0.46,0.4,0.04,0.7651006711409396,0.45827814569536424,0.969187675070028,0.6223021582733813,0.9505722624479562,1022,409,11,346,136200.0,266108.0,402308.0,225.00447427293065,0.6,227000.0,6652700.0,1.241492106205177
Decision Tree,loss_minimising_threshold,0.11,0.4,0.04,0.7220357941834452,0.41116751269035534,0.907563025210084,0.5659388646288209,0.883522521517342,967,464,33,324,521100.0,288916.0,810016.0,453.02908277404924,0.6,868500.0,7222900.0,2.499648204609137
Logistic Regression,loss_minimising_threshold,0.04,0.4,0.04,0.5626398210290827,0.3076923076923077,0.9523809523809523,0.46511627906976744,0.8903041300377594,666,765,17,340,274020.0,553712.0,827732.0,462.9373601789709,0.6,456700.0,13842800.0,2.5543184427190697
