model,threshold_type,threshold,recovery_rate,interest_rate,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,true_negatives,false_positives,false_negatives,true_positives,false_negative_loss,false_positive_loss,total_expected_loss,average_expected_loss,loss_given_default,false_negative_loan_value,false_positive_loan_value,relative_to_best
XGBoost,default_0.50,0.5,0.4,0.04,0.9211409395973155,0.813953488372093,0.7843137254901961,0.7988587731811697,0.9641237347489661,1367,64,77,280,920820.0,42200.0,963020.0,538.6017897091723,0.6,1534700.0,1055000.0,1.0
Decision Tree,default_0.50,0.5,0.4,0.04,0.8344519015659956,0.5594541910331384,0.803921568627451,0.6597701149425287,0.883522521517342,1205,226,70,287,852660.0,151688.0,1004348.0,561.7158836689038,0.6,1421100.0,3792200.0,1.0429149965732798
Gradient Boosting,default_0.50,0.5,0.4,0.04,0.9161073825503355,0.8484848484848485,0.7058823529411765,0.7706422018348624,0.9632800709382285,1386,45,105,252,1310220.0,28728.0,1338948.0,748.8523489932886,0.6,2183700.0,718200.0,1.3903636476916368
AdaBoost,default_0.50,0.5,0.4,0.04,0.9082774049217002,0.8362369337979094,0.6722689075630253,0.7453416149068323,0.9505722624479562,1384,47,117,240,1339680.0,31272.0,1370952.0,766.751677852349,0.6,2232800.0,781800.0,1.4235966023550912
Random Forest,default_0.50,0.5,0.4,0.04,0.8993288590604027,0.7827476038338658,0.6862745098039216,0.7313432835820896,0.9554247974521745,1363,68,112,245,1355880.0,44888.0,1400768.0,783.427293064877,0.6,2259800.0,1122200.0,1.4545575377458413
Logistic Regression,default_0.50,0.5,0.4,0.04,0.8814317673378076,0.7598566308243727,0.5938375350140056,0.6666666666666666,0.8903041300377594,1364,67,145,212,1855800.0,40980.0,1896780.0,1060.8389261744967,0.6,3093000.0,1024500.0,1.9696164150277253
