model,default_threshold,best_threshold,default_expected_loss,optimised_expected_loss,improvement,improvement_pct,false_negatives_at_best_threshold,false_positives_at_best_threshold,precision_BAD_1_at_best_threshold,recall_BAD_1_at_best_threshold,f1_BAD_1_at_best_threshold,relative_to_best_optimised
XGBoost,0.5,0.06,963020.0,324052.0,638968.0,0.6635043924321405,11,307,0.5298621745788668,0.969187675070028,0.6851485148514852,1.0
Random Forest,0.5,0.08,1400768.0,346560.0,1054208.0,0.7525928633435373,4,418,0.4578469520103761,0.988795518207283,0.625886524822695,1.0694579882241122
Gradient Boosting,0.5,0.01,1338948.0,399904.0,939044.0,0.7013297006306444,21,211,0.6142595978062158,0.9411764705882353,0.7433628318584071,1.2340735437522372
AdaBoost,0.5,0.46,1370952.0,402308.0,968644.0,0.7065484422503486,11,409,0.45827814569536424,0.969187675070028,0.6223021582733813,1.241492106205177
Decision Tree,0.5,0.11,1004348.0,810016.0,194332.0,0.1934907024258524,33,464,0.41116751269035534,0.907563025210084,0.5659388646288209,2.499648204609137
Logistic Regression,0.5,0.04,1896780.0,827732.0,1069048.0,0.563612016153692,17,765,0.3076923076923077,0.9523809523809523,0.46511627906976744,2.5543184427190697
