model,split,threshold,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives
baseline_xgboost,train,0.5,0.9614093959731543,0.855026455026455,0.9711538461538461,0.9093978615644345,0.9942987822432058,0.978278526151955,137,24,808,3203
baseline_xgboost,test,0.5,0.906599552572707,0.7461139896373057,0.8067226890756303,0.775235531628533,0.9530738920306068,0.8718168080750136,98,69,288,1333
tuned_xgb_default_threshold,train,0.5,0.9947267497603068,0.9742388758782201,1.0,0.9869513641755635,0.9999953218562874,0.9999812544911537,22,0,832,3318
tuned_xgb_default_threshold,test,0.5,0.9211409395973155,0.813953488372093,0.7843137254901961,0.7988587731811697,0.9641237347489661,0.8971142400556759,64,77,280,1367
tuned_xgb_selected_threshold,train,0.41,0.9918504314477469,0.9607390300230947,1.0,0.9799764428739693,0.9999953218562874,0.9999812544911537,34,0,832,3306
tuned_xgb_selected_threshold,test,0.41,0.9239373601789709,0.7962466487935657,0.8319327731092437,0.8136986301369863,0.9641237347489661,0.8971142400556759,76,60,297,1355
