mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgb__subsample,param_xgb__reg_lambda,param_xgb__reg_alpha,param_xgb__n_estimators,param_xgb__min_child_weight,param_xgb__max_depth,param_xgb__learning_rate,param_xgb__gamma,param_xgb__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.4296900749206543,0.004219070406734505,0.017842864990234374,0.0008373913896957419,0.7,1.5,0.1,400,1,6,0.06,0.05,0.6,"{'xgb__subsample': 0.7, 'xgb__reg_lambda': 1.5, 'xgb__reg_alpha': 0.1, 'xgb__n_estimators': 400, 'xgb__min_child_weight': 1, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.06, 'xgb__gamma': 0.05, 'xgb__colsample_bytree': 0.6}",0.9476316827422998,0.9628258453153573,0.9541699733063992,0.9751641295721809,0.9597161099487772,0.959901548177003,0.009218815978392959,1,1.0,0.999999437215794,0.9999960664257072,1.0,0.9999988761216306,0.9999988759526264,1.4652933411448734e-06
0.3913867950439453,0.012188448012182574,0.015359926223754882,0.0004871725882928953,0.8,3.0,0.0,300,1,6,0.08,0.05,0.9,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 3.0, 'xgb__reg_alpha': 0, 'xgb__n_estimators': 300, 'xgb__min_child_weight': 1, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.08, 'xgb__gamma': 0.05, 'xgb__colsample_bytree': 0.9}",0.9500878482555847,0.9611047366345155,0.9507972007791646,0.9727472765312748,0.9611139167448237,0.9591701957890727,0.008300044615202841,2,1.0,1.0,0.9999994380608153,0.9999994380608153,0.9999988761216306,0.9999995504486522,4.205167802644324e-07
0.44370107650756835,0.010624407756093662,0.010816192626953125,0.0007588029513626406,0.8,1.0,0.5,600,1,5,0.08,0.5,0.9,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 1.0, 'xgb__reg_alpha': 0.5, 'xgb__n_estimators': 600, 'xgb__min_child_weight': 1, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.08, 'xgb__gamma': 0.5, 'xgb__colsample_bytree': 0.9}",0.9483846677901681,0.9610061314496755,0.9535206695043646,0.974172137652406,0.9583273212610923,0.9590821855315413,0.008687294047288045,3,1.0,0.999999437215794,0.9999988761216306,1.0,1.0,0.999999662667485,4.4963596898721243e-07
0.21680006980895997,0.0075810897419817305,0.012348127365112305,0.0009552638563789759,0.9,1.0,0.0,200,1,5,0.15,0.0,1.0,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 1.0, 'xgb__reg_alpha': 0, 'xgb__n_estimators': 200, 'xgb__min_child_weight': 1, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.15, 'xgb__gamma': 0, 'xgb__colsample_bytree': 1.0}",0.945238265983004,0.9618846140055219,0.9545577519659477,0.9758855782411081,0.9544314984488854,0.9583995417288934,0.010214020726372732,4,0.9999926838053216,0.9999988744315879,0.9999910089730448,1.0,0.9999988761216306,0.999996288666317,3.688503452272288e-06
0.2615720272064209,0.009422539389479343,0.013487100601196289,0.0002732001036052495,1.0,0.5,0.05,400,1,4,0.08,0.1,1.0,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.05, 'xgb__n_estimators': 400, 'xgb__min_child_weight': 1, 'xgb__max_depth': 4, 'xgb__learning_rate': 0.08, 'xgb__gamma': 0.1, 'xgb__colsample_bytree': 1.0}",0.9414105919896734,0.9531804654164725,0.9501749513022149,0.9767062261020129,0.9474695187937379,0.9537883507208222,0.012097865431708954,5,0.99878269776237,0.9984675386069967,0.9991362994731259,0.998961536386686,0.9987187786588985,0.9988133701776153,0.00022615233057213631
1.4218732357025146,0.24721246861469348,0.019593000411987305,0.0039303724221887585,0.9,3.0,0.05,600,5,5,0.08,0.05,0.6,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 3.0, 'xgb__reg_alpha': 0.05, 'xgb__n_estimators': 600, 'xgb__min_child_weight': 5, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.08, 'xgb__gamma': 0.05, 'xgb__colsample_bytree': 0.6}",0.941742263975044,0.9562013697156585,0.9479204242118173,0.9704386407907077,0.9523753697424427,0.953735613687134,0.009639275872743927,6,0.9999814281212013,0.9999893071000856,0.9999865134595673,0.9999949425473378,0.9999943806081532,0.999989314367269,5.047399754105836e-06
0.4799042224884033,0.0134917805592166,0.018509292602539064,0.00032195671331353403,1.0,2.0,0.05,600,1,5,0.04,0.25,0.9,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 2.0, 'xgb__reg_alpha': 0.05, 'xgb__n_estimators': 600, 'xgb__min_child_weight': 1, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.04, 'xgb__gamma': 0.25, 'xgb__colsample_bytree': 0.9}",0.9402990426332963,0.9551167126824197,0.9515727580982613,0.9721520813794098,0.948037659620518,0.9534356508827809,0.010567023183506814,7,0.9990286344604025,0.9987016568367024,0.9991419188649727,0.9991514718311125,0.9990059295822769,0.9990059223150933,0.00016295585054260735
0.4079140186309814,0.012262677245873616,0.01992058753967285,0.0007438808830917574,0.8,3.0,0.01,500,8,6,0.1,0.05,0.6,"{'xgb__subsample': 0.8, 'xgb__reg_lambda': 3.0, 'xgb__reg_alpha': 0.01, 'xgb__n_estimators': 500, 'xgb__min_child_weight': 8, 'xgb__max_depth': 6, 'xgb__learning_rate': 0.1, 'xgb__gamma': 0.05, 'xgb__colsample_bytree': 0.6}",0.9448079888127936,0.9527591523539747,0.948037659620518,0.967904552341101,0.9498683356179208,0.9526755377492615,0.008040130601570827,8,0.9999859303948494,0.9999617306739904,0.9999539209868552,0.9999960664257072,0.999994380608153,0.999978405817911,1.7327882881136237e-05
1.2918389797210694,0.0698135333588387,0.013437557220458984,0.0002311525066258669,1.0,2.0,0.05,300,3,5,0.15,0.25,0.7,"{'xgb__subsample': 1.0, 'xgb__reg_lambda': 2.0, 'xgb__reg_alpha': 0.05, 'xgb__n_estimators': 300, 'xgb__min_child_weight': 3, 'xgb__max_depth': 5, 'xgb__learning_rate': 0.15, 'xgb__gamma': 0.25, 'xgb__colsample_bytree': 0.7}",0.9386944673527198,0.9550539639284306,0.9478933698867326,0.9694737031960176,0.947226029867975,0.951668306846375,0.010303390685151783,9,0.9999437215793976,0.9999532889109001,0.9998583913254573,0.9999522351693011,0.999915709122296,0.9999246692214705,3.581899865317828e-05
0.3462695121765137,0.008518117136587575,0.01394953727722168,0.00057704260303357,0.9,0.5,0.1,600,2,3,0.1,0.5,0.8,"{'xgb__subsample': 0.9, 'xgb__reg_lambda': 0.5, 'xgb__reg_alpha': 0.1, 'xgb__n_estimators': 600, 'xgb__min_child_weight': 2, 'xgb__max_depth': 3, 'xgb__learning_rate': 0.1, 'xgb__gamma': 0.5, 'xgb__colsample_bytree': 0.8}",0.9432303058553552,0.9548388253433254,0.9420225813433374,0.9716560854195224,0.946387345790347,0.9516270287503774,0.010969807576273307,10,0.9988733060195399,0.9988530457881231,0.9987963262663861,0.9988896081710452,0.99894524015033,0.9988715052790849,4.849829967736987e-05
