,precision,recall,f1-score,support
0,1.0,0.9898203592814371,0.9948841408365935,3340.0
1,0.9607390300230947,1.0,0.9799764428739693,832.0
accuracy,0.9918504314477469,0.9918504314477469,0.9918504314477469,0.9918504314477469
macro avg,0.9803695150115473,0.9949101796407185,0.9874302918552814,4172.0
weighted avg,0.9921703914140017,0.9918504314477469,0.9919111771009983,4172.0
