accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,average_precision,false_positives,false_negatives,true_positives,true_negatives,threshold
0.8048897411313519,0.5056962025316456,0.9603365384615384,0.6625207296849088,0.9599032703823124,0.8924197163456444,781,33,799,2559,0.05
0.8161553211888782,0.5212557226945717,0.9579326923076923,0.675137653536637,0.9599032703823124,0.8924197163456444,732,35,797,2608,0.055
0.8259827420901247,0.5357142857142857,0.9555288461538461,0.6865284974093264,0.9599032703823124,0.8924197163456444,689,37,795,2651,0.06
0.8324544582933845,0.5458304617505169,0.9519230769230769,0.6938239159001314,0.9599032703823124,0.8924197163456444,659,40,792,2681,0.065
0.8377277085330777,0.5544624033731553,0.9483173076923077,0.6997782705099779,0.9599032703823124,0.8924197163456444,634,43,789,2706,0.07
0.8444391179290508,0.5657800143781452,0.9459134615384616,0.7080521817363923,0.9599032703823124,0.8924197163456444,604,45,787,2736,0.075
0.8489932885906041,0.5737226277372263,0.9447115384615384,0.7138964577656676,0.9599032703823124,0.8924197163456444,584,46,786,2756,0.08
0.8528283796740173,0.5807407407407408,0.9423076923076923,0.7186067827681026,0.9599032703823124,0.8924197163456444,566,48,784,2774,0.085
0.8590604026845637,0.5924242424242424,0.9399038461538461,0.7267657992565055,0.9599032703823124,0.8924197163456444,538,50,782,2802,0.09
0.8652924256951102,0.6043276661514683,0.9399038461538461,0.735653809971778,0.9599032703823124,0.8924197163456444,512,50,782,2828,0.095
0.8693672099712368,0.6125490196078431,0.9387019230769231,0.7413383958234456,0.9599032703823124,0.8924197163456444,494,51,781,2846,0.1
0.87248322147651,0.6190476190476191,0.9375,0.745697896749522,0.9599032703823124,0.8924197163456444,480,52,780,2860,0.105
0.87607861936721,0.6267095736122285,0.9362980769230769,0.7508433734939759,0.9599032703823124,0.8924197163456444,464,53,779,2876,0.11
0.8779961649089166,0.6314076484947111,0.9326923076923077,0.7530325084910238,0.9599032703823124,0.8924197163456444,453,56,776,2887,0.115
0.8794343240651965,0.6349466776045939,0.9302884615384616,0.7547537786445636,0.9599032703823124,0.8924197163456444,445,58,774,2895,0.12
0.8818312559923298,0.6404308202154101,0.9290865384615384,0.7582148111819519,0.9599032703823124,0.8924197163456444,434,59,773,2906,0.125
0.8832694151486098,0.6441102756892231,0.9266826923076923,0.759980285855101,0.9599032703823124,0.8924197163456444,426,61,771,2914,0.13
0.8842281879194631,0.6477561388653683,0.9194711538461539,0.7600596125186289,0.9599032703823124,0.8924197163456444,416,67,765,2924,0.135
0.8880632790028763,0.6566523605150214,0.9194711538461539,0.7661492238357537,0.9599032703823124,0.8924197163456444,400,67,765,2940,0.14
0.8883029721955896,0.6580310880829016,0.9158653846153846,0.7658291457286432,0.9599032703823124,0.8924197163456444,396,70,762,2944,0.145
0.8899808245445829,0.6623150565709313,0.9146634615384616,0.7682988389702171,0.9599032703823124,0.8924197163456444,388,71,761,2952,0.15
0.8916586768935763,0.6669595782073814,0.9122596153846154,0.7705583756345178,0.9599032703823124,0.8924197163456444,379,73,759,2961,0.155
0.8933365292425696,0.672306322350846,0.9074519230769231,0.7723785166240409,0.9599032703823124,0.8924197163456444,368,77,755,2972,0.16
0.8952540747842761,0.6780883678990082,0.9038461538461539,0.7748583204533745,0.9599032703823124,0.8924197163456444,357,80,752,2983,0.165
0.8966922339405561,0.6821071752951862,0.9026442307692307,0.7770305225038799,0.9599032703823124,0.8924197163456444,350,81,751,2990,0.17
0.8966922339405561,0.6831050228310502,0.8990384615384616,0.7763362740010379,0.9599032703823124,0.8924197163456444,347,84,748,2993,0.175
0.8988494726749761,0.6887661141804788,0.8990384615384616,0.7799791449426486,0.9599032703823124,0.8924197163456444,338,84,748,3002,0.18
0.8993288590604027,0.6910946196660482,0.8954326923076923,0.7801047120418848,0.9599032703823124,0.8924197163456444,333,87,745,3007,0.185
0.9005273250239694,0.6950420954162769,0.8930288461538461,0.7816938453445555,0.9599032703823124,0.8924197163456444,326,89,743,3014,0.19
0.9007670182166826,0.6956928838951311,0.8930288461538461,0.7821052631578947,0.9599032703823124,0.8924197163456444,325,89,743,3015,0.195
0.9014860977948226,0.6976525821596244,0.8930288461538461,0.783342119135477,0.9599032703823124,0.8924197163456444,322,89,743,3018,0.2
0.9034036433365292,0.7033175355450237,0.8918269230769231,0.7864334923158453,0.9599032703823124,0.8924197163456444,313,90,742,3027,0.205
0.9038830297219559,0.7054337464251669,0.8894230769230769,0.786815523657629,0.9599032703823124,0.8924197163456444,309,92,740,3031,0.21
0.9041227229146692,0.7072936660268714,0.8858173076923077,0.7865528281750267,0.9599032703823124,0.8924197163456444,305,95,737,3035,0.215
0.9050814956855225,0.7104247104247104,0.8846153846153846,0.7880085653104925,0.9599032703823124,0.8924197163456444,300,96,736,3040,0.22
0.9060402684563759,0.7135922330097088,0.8834134615384616,0.7894736842105263,0.9599032703823124,0.8924197163456444,295,97,735,3045,0.225
0.9065196548418025,0.7162426614481409,0.8798076923076923,0.7896440129449838,0.9599032703823124,0.8924197163456444,290,100,732,3050,0.23
0.9079578139980825,0.7204724409448819,0.8798076923076923,0.7922077922077922,0.9599032703823124,0.8924197163456444,284,100,732,3056,0.235
0.9089165867689357,0.7233201581027668,0.8798076923076923,0.7939262472885033,0.9599032703823124,0.8924197163456444,280,100,732,3060,0.24
