,precision,recall,f1-score,support
0,0.998167379352474,0.9784431137724551,0.9882068339885092,3340.0
1,0.9198218262806236,0.9927884615384616,0.9549132947976878,832.0
accuracy,0.9813039309683605,0.9813039309683605,0.9813039309683605,0.9813039309683605
macro avg,0.9589946028165488,0.9856157876554583,0.9715600643930985,4172.0
weighted avg,0.9825433380879056,0.9813039309683605,0.9815672787136377,4172.0
