mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ada__n_estimators,param_ada__learning_rate,param_ada__estimator__min_samples_leaf,param_ada__estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
5.3257921695709225,0.1119128504188768,0.10307917594909669,0.00316612516671058,600,1.0,3,3,"{'ada__n_estimators': 600, 'ada__learning_rate': 1.0, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 3}",0.9352343217756105,0.9449155581053461,0.9333201067744029,0.9625297597575934,0.9410756799653703,0.9434150852756646,0.0104108452956837,1
3.6316718578338625,0.11036729863831328,0.06712594032287597,0.0069217026256847315,400,1.0,1,3,"{'ada__n_estimators': 400, 'ada__learning_rate': 1.0, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 3}",0.9297034673168634,0.9345261572663058,0.9297759901882982,0.9674085563812135,0.9427981386624342,0.940842461963023,0.014113977102706076,2
5.301456880569458,0.07833570923886878,0.06492462158203124,0.00591536983325813,600,0.75,10,3,"{'ada__n_estimators': 600, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 3}",0.9272473018035784,0.944951414536197,0.9225073948488566,0.9600678161748791,0.9336808311088666,0.9376909516944757,0.013484284729189527,3
5.398392152786255,0.1840780322500532,0.10592966079711914,0.004455020799997182,600,0.75,3,3,"{'ada__n_estimators': 600, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 3}",0.9190630714618666,0.9296945032091506,0.9226607026910035,0.9588684077627877,0.9348261308707886,0.9330225631991194,0.01403261973834183,4
3.6388073921203614,0.09941200908428019,0.07118744850158691,0.0012397297556899424,400,0.75,5,3,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 3}",0.920802108358134,0.9300261751945211,0.9126145299761923,0.9569024601399609,0.9250234470817401,0.9290737441501097,0.015040446501205876,5
1.944655752182007,0.022102477223757737,0.05372014045715332,0.0008846337345806559,300,1.0,5,2,"{'ada__n_estimators': 300, 'ada__learning_rate': 1.0, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 2}",0.9112015489978127,0.9359424862849153,0.9190264050212827,0.9431768992136209,0.9144542240819566,0.9247603127199178,0.012547070557700934,6
3.591194009780884,0.05314160357450326,0.07167263031005859,0.0011641773354473623,400,0.35,5,3,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.35, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 3}",0.9100631073182976,0.9297931083939904,0.9166771877930885,0.9489124161315923,0.9144587331361373,0.9239809105546213,0.014093140813530114,7
2.6557833671569826,0.06593949938356045,0.07057528495788574,0.0012332819081503823,400,0.5,5,2,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.5, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 2}",0.9097538456022087,0.9346651009358529,0.9121726426664742,0.9457921506384821,0.9113745400764736,0.9227516559838984,0.014717961329006988,8
5.405605602264404,0.16065081945845125,0.10284080505371093,0.0031798855003175746,600,0.1,5,3,"{'ada__n_estimators': 600, 'ada__learning_rate': 0.1, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 3}",0.9032862418874825,0.92853813331421,0.9130068176899214,0.9433843157059376,0.9034070413390088,0.9183245099873121,0.015551657106586418,9
1.3458948612213135,0.028127076723274087,0.042781400680541995,0.008651158160852875,200,0.35,5,2,"{'ada__n_estimators': 200, 'ada__learning_rate': 0.35, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 2}",0.9049535659220481,0.92659292194055,0.9132683428324075,0.9401152514248611,0.9041645624413823,0.9178189289122498,0.013760640054208902,10
1.2347506046295167,0.056134523873195306,0.02996172904968262,0.006900658068215538,200,0.35,10,2,"{'ada__n_estimators': 200, 'ada__learning_rate': 0.35, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 2}",0.9046218939366775,0.9285560615296353,0.9124296587547795,0.9386768631411875,0.9025728663155617,0.9173714687355684,0.014035574258093231,11
2.6810045719146727,0.058257770001448515,0.07025723457336426,0.0019248231268861047,400,0.2,10,2,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.2, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 2}",0.9053748789845459,0.9263733013015885,0.910373530048337,0.939700418440228,0.9035874035062406,0.9170819064561879,0.013871449229713739,12
0.9363614082336426,0.03820643018631724,0.028955888748168946,0.009972144765061334,100,0.5,10,3,"{'ada__n_estimators': 100, 'ada__learning_rate': 0.5, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 3}",0.9036268779805657,0.9208379647889848,0.9047327032681625,0.9425546497366712,0.906743741432797,0.9156991874414363,0.014790722306728685,13
1.6578503131866456,0.0510976358699709,0.06879196166992188,0.002872941755555188,400,0.75,1,1,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 1}",0.903927175588942,0.9250510954139625,0.9076906428107641,0.9359579034701682,0.8988438785080441,0.9142941391583761,0.013962961318198729,14
1.760883617401123,0.07257362472826633,0.06867012977600098,0.001093718445005526,400,0.75,3,1,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 1}",0.903927175588942,0.9250510954139625,0.9076906428107641,0.9359579034701682,0.8988438785080441,0.9142941391583761,0.013962961318198729,14
1.235673475265503,0.030873393203069237,0.0550267219543457,0.001426115309570522,300,1.0,3,1,"{'ada__n_estimators': 300, 'ada__learning_rate': 1.0, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 1}",0.9047249811753739,0.9274803686041091,0.907559880239521,0.9359984849577954,0.8944520597359498,0.9140431549425498,0.015331454279937193,16
0.9232630729675293,0.026348509293833557,0.024974679946899413,0.001845570427803963,100,0.2,3,3,"{'ada__n_estimators': 100, 'ada__learning_rate': 0.2, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 3}",0.900072609272473,0.9209769084585321,0.9096836447586754,0.9385551186783061,0.8994120193348243,0.9137400601005622,0.01467450562112326,17
0.6773114681243897,0.021228835961518925,0.024298810958862306,0.0013961099974882966,100,0.35,1,2,"{'ada__n_estimators': 100, 'ada__learning_rate': 0.35, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 2}",0.9014172254293807,0.9253917315070459,0.9112663227761345,0.9343797345068899,0.8957551763941995,0.9136420381227301,0.014443941548193322,18
2.48196120262146,0.017653197011284462,0.0972416877746582,0.0015899426089389134,600,0.35,5,1,"{'ada__n_estimators': 600, 'ada__learning_rate': 0.35, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 1}",0.901506866506508,0.9224694323926996,0.9065092706153957,0.9330721087944592,0.8938568645840849,0.9114829085786296,0.014294986452515403,19
1.9276943683624268,0.018588333233772174,0.05464835166931152,0.0013305982058365955,300,0.1,1,2,"{'ada__n_estimators': 300, 'ada__learning_rate': 0.1, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 2}",0.9031831546487863,0.9224425400695614,0.9059817112762427,0.9306417285910107,0.8948533655580406,0.9114205000287283,0.0131365537389202,20
2.717929744720459,0.07260837074310979,0.05783710479736328,0.002797340804487708,300,0.02,10,3,"{'ada__n_estimators': 300, 'ada__learning_rate': 0.02, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 3}",0.8976612642977517,0.9227249094625122,0.9047823028641513,0.9303892215568863,0.8901729673183753,0.9091461330999355,0.015143171531745884,21
0.4441563129425049,0.021929286512049725,0.023308706283569337,0.0007366672581657903,100,0.75,3,1,"{'ada__n_estimators': 100, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 1}",0.8918121840152031,0.9159525260855536,0.9023789769857875,0.9278506240530986,0.8877020056272996,0.9051392633533885,0.014980125081391434,22
0.4233752727508545,0.009258249345045736,0.02364239692687988,0.0006541198640430258,100,0.75,1,1,"{'ada__n_estimators': 100, 'ada__learning_rate': 0.75, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 1}",0.8918121840152031,0.9159525260855536,0.9023789769857875,0.9278506240530986,0.8877020056272996,0.9051392633533885,0.014980125081391434,22
2.701461744308472,0.10500039965851611,0.07098779678344727,0.0010972871544498517,400,0.02,3,2,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.02, 'ada__estimator__min_samples_leaf': 3, 'ada__estimator__max_depth': 2}",0.8970337767578616,0.9157149772311663,0.9027847918620591,0.925379662362023,0.8820927422263904,0.9046011900879,0.014983033383591618,24
1.782362461090088,0.025314932406404752,0.04015383720397949,0.001196066714230817,200,0.02,1,3,"{'ada__n_estimators': 200, 'ada__learning_rate': 0.02, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 3}",0.8924620818243754,0.9149261357524471,0.8991865666257847,0.9257043142630401,0.8846989755428901,0.9033956148017074,0.014949605577001063,25
1.3621349334716797,0.046925388247879535,0.04065232276916504,0.0021603737204011404,200,0.02,10,2,"{'ada__n_estimators': 200, 'ada__learning_rate': 0.02, 'ada__estimator__min_samples_leaf': 10, 'ada__estimator__max_depth': 2}",0.8920990354620102,0.9056572483774965,0.8968824399393983,0.9202844311377245,0.8752615251424862,0.8980369360118232,0.01488845904931241,26
1.685530138015747,0.02079381699288451,0.06920242309570312,0.0005154587845310543,400,0.1,5,1,"{'ada__n_estimators': 400, 'ada__learning_rate': 0.1, 'ada__estimator__min_samples_leaf': 5, 'ada__estimator__max_depth': 1}",0.8865950733264011,0.9055541611388003,0.8990332587836376,0.9194186927350119,0.8757800663732774,0.8972762504714256,0.015086895695320101,27
2.492690992355347,0.05220330551660889,0.10138506889343261,0.0008349921523439087,600,0.05,1,1,"{'ada__n_estimators': 600, 'ada__learning_rate': 0.05, 'ada__estimator__min_samples_leaf': 1, 'ada__estimator__max_depth': 1}",0.8833186919574025,0.9034565599340242,0.8971349469735228,0.9169071495563091,0.8700625856720294,0.8941759868186576,0.016192141356323363,28
