feature,coefficient,odds_ratio,abs_coefficient
JOB_Sales,1.2535234755399371,3.5026627870618117,1.2535234755399371
DELINQ,0.9147171229809566,2.496069071450228,0.9147171229809566
JOB_Office,-0.736928896571127,0.4785814340000407,0.736928896571127
JOB_Self,0.6067194780990751,1.8344037156497852,0.6067194780990751
DEROG,0.5489921472807652,1.7315070340952545,0.5489921472807652
DEBTINC,0.4807879496711855,1.6173482893002669,0.4807879496711855
CLAGE,-0.4073138278789988,0.665435325372644,0.4073138278789988
LOAN,-0.2800565630701634,0.7557409932159264,0.2800565630701634
NINQ,0.26078273642169536,1.2979456384838453,0.26078273642169536
REASON_HomeImp,0.25834594786750126,1.2947866698404848,0.25834594786750126
CLNO,-0.20609468273042778,0.813756023992964,0.20609468273042778
MORTDUE,-0.16858476255027618,0.8448596479254398,0.16858476255027618
VALUE,0.1165090039220828,1.1235676269370278,0.1165090039220828
JOB_ProfExe,-0.06798315819693758,0.9342762083406191,0.06798315819693758
YOJ,-0.06328447650809794,0.938676404317719,0.06328447650809794
JOB_Other,-0.014912875069769635,0.9851977711510492,0.014912875069769635
