feature,coefficient,odds_ratio,abs_coefficient
VALUE_missing,5.10985448418575,165.64624897108064,5.10985448418575
DEBTINC_missing,2.7033980867490826,14.930380349550614,2.7033980867490826
JOB_Missing,-1.7746946295593233,0.16953521263819515,1.7746946295593233
JOB_Sales,1.1503001810566393,3.159141081678984,1.1503001810566393
DELINQ,0.7610871141666412,2.140602034852123,0.7610871141666412
JOB_Self,0.7430891266569059,2.1024201355144374,0.7430891266569059
DEBTINC,0.716968848238608,2.048215340213989,0.716968848238608
JOB_Office,-0.6864510872548946,0.5033592811306187,0.6864510872548946
CLAGE,-0.4653253199806489,0.627930793524511,0.4653253199806489
DEROG,0.45938010375355176,1.5830923277713367,0.45938010375355176
MORTDUE_missing,0.27378237117454385,1.3149286047296342,0.27378237117454385
MORTDUE,-0.2502012665083374,0.7786440523299593,0.2502012665083374
VALUE,0.22774709626421746,1.2557676969274914,0.22774709626421746
NINQ,0.19162791845807917,1.2112197605949113,0.19162791845807917
REASON_HomeImp,0.18905877142336244,1.2081119528555353,0.18905877142336244
LOAN,-0.18023111042125314,0.8350771940658717,0.18023111042125314
CLNO,-0.1609504412994567,0.8513342610814095,0.1609504412994567
REASON_Missing,-0.15455947878305132,0.8567925296495272,0.15455947878305132
JOB_Other,0.14656762046411204,1.157853222743654,0.14656762046411204
YOJ,-0.06765789926186784,0.93458013945068,0.06765789926186784
JOB_ProfExe,-0.06757863076655335,0.9346542251483771,0.06757863076655335
