,precision,recall,f1-score,support
0,0.9258168972622902,0.9416167664670658,0.933649992578299,3340.0
1,0.7483870967741936,0.6971153846153846,0.7218419415059116,832.0
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
macro avg,0.8371019970182418,0.8193660755412252,0.8277459670421052,4172.0
weighted avg,0.8904330060815384,0.8928571428571429,0.891410227839031,4172.0
