,accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,false_positives,false_negatives,true_positives,true_negatives
train,0.8929,0.7484,0.6971,0.7218,0.9045,195,252,580,3145
test,0.8798,0.7219,0.6471,0.6824,0.8903,89,126,231,1342
