,precision,recall,f1-score,support
0,0.9055706521739131,0.7982035928143713,0.8485041374920432,3340.0
1,0.4511400651465798,0.6658653846153846,0.537864077669903,832.0
accuracy,0.7718120805369127,0.7718120805369127,0.7718120805369127,0.7718120805369127
macro avg,0.6783553586602464,0.732034488714878,0.693184107580973,4172.0
weighted avg,0.8149459521722972,0.7718120805369127,0.7865548254661514,4172.0
