accuracy,precision_BAD_1,recall_BAD_1,f1_BAD_1,roc_auc,false_positives,false_negatives,true_positives,true_negatives,threshold
0.2778044103547459,0.21608956001041396,0.9975961538461539,0.35523218489193237,0.9068963035467528,3011,2,830,329,0.05
0.2778044103547459,0.21608956001041396,0.9975961538461539,0.35523218489193237,0.9068963035467528,3011,2,830,329,0.055
0.2778044103547459,0.21608956001041396,0.9975961538461539,0.35523218489193237,0.9068963035467528,3011,2,830,329,0.06
0.2778044103547459,0.21608956001041396,0.9975961538461539,0.35523218489193237,0.9068963035467528,3011,2,830,329,0.065
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.07
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.075
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.08
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.085
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.09
0.30393096836049854,0.22210300429184548,0.9951923076923077,0.3631578947368421,0.9068963035467528,2900,4,828,440,0.095
0.6208053691275168,0.33919382504288165,0.9507211538461539,0.5,0.9068963035467528,1541,41,791,1799,0.1
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.105
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.11
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.115
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.12
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.125
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.13
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.135
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.14
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.145
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.15
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.155
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.16
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.165
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.17
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.175
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.18
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.185
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.19
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.195
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.2
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.205
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.21
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.215
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.22
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.225
0.7344199424736337,0.4245901639344262,0.9338942307692307,0.5837716003005259,0.9068963035467528,1053,55,777,2287,0.23
