mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__ccp_alpha,param_tree__class_weight,param_tree__criterion,param_tree__max_depth,param_tree__max_features,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04554524421691895,0.0012382823448823127,0.008383750915527344,0.0006910632823088295,0.005,balanced,entropy,10,,5,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 2}",0.8632525368424828,0.8841792462978235,0.8872781545343048,0.9078484597070919,0.8660269821802178,0.8817170759123842,0.01616759315334545,14
0.04667091369628906,0.0036592264581134185,0.008394479751586914,0.0007433800149276854,0.005,balanced,entropy,10,,5,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 10}",0.8632525368424828,0.8841792462978235,0.8872781545343048,0.9078484597070919,0.8660269821802178,0.8817170759123842,0.01616759315334545,14
0.043999433517456055,0.003144699422489821,0.008883476257324219,0.002173388077240752,0.005,balanced,entropy,10,,10,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 10}",0.8667126824195919,0.8835920972426404,0.8847079936512516,0.9108424716831397,0.8561431354159151,0.8803996760825077,0.018607689366266982,16
0.043015670776367185,0.0005892751093029075,0.007712793350219726,0.0002182863119976815,0.005,balanced,entropy,10,,10,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 25}",0.8667126824195919,0.8835920972426404,0.8847079936512516,0.9108424716831397,0.8561431354159151,0.8803996760825077,0.018607689366266982,16
0.04672698974609375,0.002719177273237002,0.008269739151000977,0.0008964433238242544,0.005,balanced,entropy,10,,10,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 2}",0.8667126824195919,0.8835920972426404,0.8847079936512516,0.9108424716831397,0.8561431354159151,0.8803996760825077,0.018607689366266982,16
0.03671765327453613,0.0004224731206105133,0.00795760154724121,0.00019405084856927293,0.005,balanced,entropy,7,,10,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 10}",0.8567849331277565,0.8870567248736061,0.889320756078205,0.9094987735372628,0.8502633287641584,0.8785849032761976,0.02200021796435922,19
0.03680872917175293,0.000910015551746126,0.008063793182373047,0.00028015950329815444,0.005,balanced,entropy,7,,10,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 25}",0.8567849331277565,0.8870567248736061,0.889320756078205,0.9094987735372628,0.8502633287641584,0.8785849032761976,0.02200021796435922,19
0.03917927742004394,0.003106123318430539,0.009050893783569335,0.0010996465695517783,0.005,balanced,entropy,7,,10,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 10, 'tree__min_samples_split': 2}",0.8567849331277565,0.8870567248736061,0.889320756078205,0.9094987735372628,0.8502633287641584,0.8785849032761976,0.02200021796435922,19
0.036705732345581055,0.00047347504744801893,0.007588958740234375,0.00017040338776479633,0.005,balanced,entropy,7,,5,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 25}",0.8550862347161964,0.8872135967585786,0.8897355890628381,0.9035693672895174,0.8533926123656301,0.8777994800385521,0.020033821821422024,22
0.0420377254486084,0.0036975515971884496,0.008138895034790039,0.0005281716868930879,0.005,balanced,entropy,7,,5,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 2}",0.8550862347161964,0.8872135967585786,0.8897355890628381,0.9035693672895174,0.8533926123656301,0.8777994800385521,0.020033821821422024,22
0.03851704597473145,0.0011541499142790903,0.008092164993286133,0.0003340341463111919,0.005,balanced,entropy,7,,5,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 5, 'tree__min_samples_split': 10}",0.8550862347161964,0.8872135967585786,0.8897355890628381,0.9035693672895174,0.8533926123656301,0.8777994800385521,0.020033821821422024,22
0.037545967102050784,0.0003546813828577012,0.008102035522460938,0.00027423425247306024,0.005,balanced,entropy,7,,1,10,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 10}",0.853795403205565,0.8875945713363692,0.8897355890628381,0.9035017314768055,0.8533926123656301,0.8776039814894414,0.020350528430295663,25
0.03743863105773926,0.0007884270044876033,0.008232450485229493,0.0002515241025195702,0.005,balanced,entropy,7,,1,25,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 25}",0.853795403205565,0.8875945713363692,0.8897355890628381,0.9035017314768055,0.8533926123656301,0.8776039814894414,0.020350528430295663,25
0.037489461898803714,0.0004063098450940969,0.008195924758911132,0.00028499090974890896,0.005,balanced,entropy,7,,1,2,"{'tree__ccp_alpha': 0.005, 'tree__class_weight': 'balanced', 'tree__criterion': 'entropy', 'tree__max_depth': 7, 'tree__max_features': None, 'tree__min_samples_leaf': 1, 'tree__min_samples_split': 2}",0.853795403205565,0.8875945713363692,0.8897355890628381,0.9035017314768055,0.8533926123656301,0.8776039814894414,0.020350528430295663,25
